| 排名 | 型号                      | 厂商          | 开关速度（上升/下降）         | 最大频率能力        | 说明                        |
| -- | ----------------------- | ----------- | ------------------- | ------------- | ------------------------- |
| 1  | **EPC2034C**            | EPC         | **0.6 ns** / 0.6 ns | **1+ GHz**    | 超高速，适合光通信/LiDAR           |
| 2  | **LMG1020 + GaN FET**   | TI          | <1 ns（系统）           | >1 GHz        | 专用1ns GaN驱动器（推荐搭配EPC FET） |
| 3  | **EPC2036**             | EPC         | \~1.0 ns            | 500–700 MHz   | 小功率激光调制、示波用               |
| 4  | **GS66504B**            | GaN Systems | \~1.2 ns            | 500+ MHz      | 高压高频应用（650V）              |
| 5  | **EPC2033**             | EPC         | 1.2–1.4 ns          | 400–600 MHz   | 中功率激光/开关供电                |
| 6  | **TPH3205WSB**          | Transphorm  | \~2 ns              | \~300 MHz     | 通用电源、激光电流控制               |
| 7  | **GS61008T**            | GaN Systems | \~3 ns              | \~200 MHz     | 中等功率，效率高                  |
| 8  | **EPC2014C**            | EPC         | 3–4 ns              | \~200 MHz     | 功耗略高，适合试验                 |
| 9  | **CGH40010F（GaN HEMT）** | Wolfspeed   | \~5 ns              | 2.7 GHz（RF应用） | RF放大器用，适合连续波调制            |
| 10 | **LMG3410R050**         | TI          | \~7 ns（集成驱动）        | 100–150 MHz   | 集成驱动安全性高，易用               |
